,title,url
0,Authorize | LinkedIn,https://www.linkedin.com/uas/oauth/authorize?oauth_token=77--4a7b49de-07fa-4f37-983b-27cbff85eb10&state=
1,Sign in - Google Accounts,https://accounts.google.com/ServiceLogin?passive=1209600&continue=https://accounts.google.com/o/oauth2/auth?access_type%3Doffline%26scope%3Demail%2Bprofile%26response_type%3Dcode%26redirect_uri%3Dhttp://www.vets.gov/veterans-employment-center/users/auth/google_oauth2/callback%26state%3D9fea065bdebf463d43c2572460ebac0afc9ba4a286ada16b%26client_id%3D949670661176-6chimfu6jjdhkhn4vthprj0fa0t3huvr.apps.googleusercontent.com%26hl%3Den-US%26from_login%3D1%26as%3D-360dd06068abb70d&ltmpl=popup&oauth=1&sarp=1&scc=1
2,"
      My Access Center - Login
    ",https://myaccess.dmdc.osd.mil/identitymanagement/authenticate.do;jsessionid=FlINM_9aoCBaZxdbcmFWaqQjdzJkjDSfXp1hLP9jZHnErPqrVUn3!1731840441?execution=e1s1
3,Authorize | LinkedIn,https://www.linkedin.com/uas/oauth/authorize?oauth_token=77--614efe54-c891-441f-915b-d3b144d016cd&state=
4,Authorize | LinkedIn,https://www.linkedin.com/uas/oauth/authorize?oauth_token=77--5977e4a8-6518-456d-9357-3b66a1c9804a&state=
5,Sign in - Google Accounts,https://accounts.google.com/ServiceLogin?passive=1209600&continue=https://accounts.google.com/o/oauth2/auth?access_type%3Doffline%26scope%3Demail%2Bprofile%26response_type%3Dcode%26redirect_uri%3Dhttp://www.vets.gov/veterans-employment-center/users/auth/google_oauth2/callback%26state%3Dd3b9341b6a94ac678efbe016d9f89f255dd2861d41a6460d%26client_id%3D949670661176-6chimfu6jjdhkhn4vthprj0fa0t3huvr.apps.googleusercontent.com%26hl%3Den-US%26from_login%3D1%26as%3D-40961cf3d0141467&ltmpl=popup&oauth=1&sarp=1&scc=1
6,"
      My Access Center - Login
    ",https://myaccess.dmdc.osd.mil/identitymanagement/authenticate.do;jsessionid=BP4NNG_CORzec--6DMq2SptCrp556q7BCq2B4nqObtKlrFD9PFJ_!-1899913949?execution=e1s1
7, Vets.gov Experience: Vets.gov,https://www.vets.gov/experience/
8, Apply for Benefits: Vets.gov,https://www.vets.gov/disability-benefits/get/
9, Disabilities That Appear Within One Year After Discharge: Vets.gov,https://www.vets.gov/disability-benefits/get/filing/one-year/
